model,MAE,RMSE,MAPE,sMAPE,MASE,seconds
AutoTheta,51.19679260253906,58.67473288297073,10.748015210895295,11.488562279657428,1.791721840918412,0.9393436000027577
Theta,62.344048817952476,70.5562391513781,13.147314719675919,14.25229616203125,2.1818396864351484,0.9393436000027577
AutoETS,67.9416732788086,78.37324656564037,14.297783701290692,15.689496824351338,2.3777384037949867,0.9393436000027577
ARIMA,66.3380355834961,71.8920141276197,14.422797122015417,15.7028090111633,2.321616280951905,0.9393436000027577
AutoARIMA,68.5704116821289,74.245243952092,14.92602197287046,16.302004363302107,2.3997422105216857,0.9393436000027577
SeasonalNaive,71.25,76.99458855443457,15.523355162420376,17.012625361650954,2.4935191186001298,0.9393436000027577
Naive,115.25,137.32898455897794,23.577467413678153,27.75103741881239,4.033376539209333,0.9393436000027577
HistoricAverage,206.34165954589844,219.43921245792754,44.23460486171542,57.583348002670334,7.221289446194761,0.9393436000027577
